_RAJ2000	_DEJ2000	GSC2.3	RAJ2000	DEJ2000	Epoch	Fmag	jmag	Vmag	Nmag	Class	Status	a	e
250.22874100	+36.32291500	N61Q000270	250.228741	+36.322915	2000.000			10.73		0	99999900		
250.59555900	+36.34519700	N61Q000262	250.595559	+36.345197	2000.000			10.86		0	99999900		
250.24861500	+36.46777400	N61I000452	250.248615	+36.467774	2000.000			10.87		0	99999900		
250.21215600	+36.45265800	N61I000462	250.212156	+36.452658	2000.000			10.99		0	99999900		
250.16036900	+36.38515500	N61I000505	250.160369	+36.385155	2000.000			11.14		0	99999900		
250.20399200	+36.31639700	N61Q000273	250.203992	+36.316397	1993.322	10.47	12.71	11.31	9.19	0	101111207	11.32	0.02
250.63479000	+36.51069600	N61D000054	250.634790	+36.510696	2000.000			11.41		0	99999900		
250.33158700	+36.35440600	N61Q000253	250.331587	+36.354406	1993.322	11.03	12.74	11.65	10.46	0	1101111507	10.22	0.11
250.03235000	+36.37363500	N61I000512	250.032350	+36.373635	1991.570			11.71		0	99999900		
250.65302400	+36.62665900	N61D000040	250.653024	+36.626659	2000.000			11.82		0	99999900		
